IDs,title,fol_or_p
New_1536-6_n055,Zart schóne fraw (Zarte schöne Frau),kiijv-kiiijr
New_1536-6_n056,Ach lieb mit leid (Ach Liebe mit Leid),kiiijv-lr
New_1536-6_n057,Nie noch nimmer (Nie noch nimmer),lr-lv
New_1536-6_n058,Von edler art (Von edler Art),lijr-lijv
New_1536-6_n059,Nach willen dein (Nach Willen dein),liijr-liijv
New_1536-6_n060,Hie enden sich die zehen bezeichneten stuck (Hier enden die zehn bezeichneten Stücke),liijv
New_1536-6_n061,Mein einigs A (Mein einiges A),liiijr-liiijv
New_1536-6_n062,Tróstlicher lieb (Tröstlicher Liebe),mr-mv
New_1536-6_n063,Jetz scheyden pringt mir schwer (Jetzt Scheiden),mijr-mijv
New_1536-6_n064,Mein hertz hat sich mit lieb verpflicht (Mein Herz hat sich mit Liebe verpflichtet),mijv-miijv
New_1536-6_n065,So wuunsch ich ir ein gute nacht* (So wünsche ich Ihr eine gute Nacht),miiijr-miiijv
New_1536-6_n066,Nur nerrisch sein ist mein monier (Nur närrisch sein ist meine Manier),nr-nv
New_1536-6_n067,In rechter lieb vnd trew (In rechter Liebe und Treue),nijr-nijv
New_1536-6_n068,Wol kumbt der May (Wohl kommt der Mai),niijr-niijv
New_1536-6_n069,Freundtlicher gruß mit búß (Freundlicher Gruß mit Buße),niiijr-niiijv
New_1536-6_n070,Hie folgen stuck die haben weder punctlein noch creutzlein (Hier folgen Stücke die haben weder Pünktlein noch Kreuzlein),or
New_1536-6_n071,Ach vnfall wes zeihest du mich (Ach Unfall wessen zeihst du),or-oijv
New_1536-6_n072,Was wurt es doch des wunders noch (Was wird es noch des Wunders),oiijv-oiijv
New_1536-6_n073,Ach Gott wem soll ichs klagen das heimlich leiden mein (Ach Gott wem soll ich es klagen),oiijv-oiiijr
New_1536-6_n074,Die prúnlein die da fliessen (Die Brünnlein die da fliessen),oiiijv-pr
New_1536-6_n075,Lamora Isaac (La Mora),pv-piijr
New_1536-6_n076,Benedictus (Benedictus),piijr-piiijv
New_1536-6_n077,Adiu mes amours (Adieu mes amours),piiijv-qijr
New_1536-6_n078,Ander nacken vp dem Rhin (Andernacken auf den Rhein),qijr-qiiijr
New_1536-6_n079,Ach meidlein rein ich hab allein mich dir eigen ergeben (Ach Maidlein rein ich habe allein),qiiijv-rr
New_1536-6_n080,Wan ich lang klag alle tag vnd grimme mich ser (Wann ich lange klage alle Tage),rv
New_1536-6_n081,Kunt ich schón reines werdes weyb (Könnte ich schönes reines wertes Weib),rijr
New_1536-6_n082,In diser welt hab ich kein gelt (In dieser Welt habe ich kein Geld),rijv-riijr
New_1536-6_n083,On tugent freyd die leng nit wert (Ohne Tugend Freude die Länge nicht wehrt),riijr-riijv
New_1536-6_n084,Wer wenig behelt vnd vil verthut (Wer wenig behält und viel vertut),riijv-riiijr
New_1536-6_n085,Sie ist mein gluck wenn ich mich schick (Sie ist mein Glück wenn ich mich schicke),riiijv-sr
New_1536-6_n086,Lieb ist subtil fúrt gferlich spil (Liebe ist subtil führt gefährliches Spiel),sr-sv
New_1536-6_n087,Dis faßnacht solt ich hoch auff springen (Die Fasnacht sollte ich hoch auf springen),sv-sijr
New_1536-6_n088,Mir wúrt vntrew getheylet mit (Mir wird Untreue geteilt mit),sijr-sijv
New_1536-6_n089,Hie enden sich die newen liedlein (Hier enden sich die neuen Liedlein),sijv
New_1536-6_n090,Hie folgen etlich Preameln (Hier folgen etliche Präambeln),siijr
New_1536-6_n091,Preambel (Präambel),siijv
New_1536-6_n092,Preambel (Präambel),siiijr
New_1536-6_n093,Pream[b]el (Präambel),siiijv
New_1536-6_n094,Hie folget ein welscher tantz Wascha mesa (Wascha mesa*),tr-tv
New_1536-6_n095,Der hupff auff (Hupfauf),tijr-tijv
New_1536-6_n096,Ein guter welscher tantz (Welscher Tanz),tijv-tiijv
New_1536-6_n097,Hie folget der recht artlich hoff tantz im abzug (Hoftanz),tiijv-tiiijr
New_1536-6_n098,Hupff auff (Hupfauf),tiiijv
New_1536-6_n099,Ein geringer hoff tantz (Hoftanz),vr-vv
New_1536-6_n100,Der hupff auff (Hupfauf),vv-vijr
New_1536-6_n101,Ein ser guter hoff tantz mit durch straichen (Hoftanz),vijr-viijr
New_1536-6_n102,Hupff auff (Hupfauf),viijv-viiijv
New_1536-6_n103,Gassenhawer (Gassenhauer),xr-xv
New_1536-6_n104,Ich gieng wol bey der nacht (Ich ging wohl bei der Nacht),xijr-xijv
New_1536-6_n105,Ein gut Preambel (Präambel),xiijr
New_1536-6_n106,Hie wúrt angeseigt was in dem buch falsch ist (Hier wird angezeigt was in dem Buch falsch ist),xiijv
New_1536-6_n107,Hie endet sich das erste theil ds Lautten búchs (Hier endet sich das erste Teil des Lautenbuchs),[xiiijr]
New_1536-6_n108,Register vnd inhalt diß Lauten búchlins (Register und Inhalt dieses Lautenbüchleins),[yr-yijr]
New_1536-7_n00,Der ander theil des Lautenbúchs (Der andere Tail dieses Buchs),
New_1536-7_n01,Zu dem Leser (Zu dem Leser),
New_1536-7_n02,Ein seer guter Organistischer Preambel (Präambel),i.
New_1536-7_n03,Trium Si ascendero (Trium Si ascendero in cælum),B
New_1536-7_n04,Adieu madame (Adieu Madame),Biij
New_1536-7_n05,Harraytre amours (Ha traitre amours),iiij.
New_1536-7_n06,Trium. Mater patris (Trium. Mater patris),v.
New_1536-7_n07,Lastangeta (Lastangeta**[?]),vi.
New_1536-7_n08,La plus te plus (La plus des plus),Ciij
New_1536-7_n09,Medobt (Me doibt),viij.
New_1536-7_n10,Tus Biens (De tous biens),Cij
New_1536-7_n11,Ein gut trium mit schónen fugen (Ein gutes Trium mit schönen Fugen),x.
New_1536-7_n12,Hie folgen etlich Trium (Hier folgen etliche Trium),
New_1536-7_n13,Vostrea Jamais (Vostre a jamais),E
New_1536-7_n14,La Bernardina (La Bernardina),Eij
New_1536-7_n15,Jay vien ahur (J'ay bien a huer),Eiij-Eiiij
New_1536-7_n16,Jay pris amors (J'ay pris amours),xiiij.
New_1536-7_n17,La alfonsina (La Alfonsina),xv.
New_1536-7_n18,Meß pensees (Mes pensées**[?]),Fiij
New_1536-7_n19,Favus distillons (Favus distillons**[?]),G
New_1536-7_n20,Tartara (Tartara),Giij-H
New_1536-7_n21,Juli amors (Juli amors**[?]),Hij-Hiiij
New_1536-7_n22,Si sumpsero (Si sumpsero),Hiiij-Jij
New_1536-7_n23,Ave sanctissima der erste theil (Ave sanctissima),xxi.
New_1536-7_n24,Der ander theil (Der andere Teil),K-Kiij
New_1536-7_n25,Si dormiero. der erste theil (Si dormiero),xxiiij
New_1536-7_n26,Ecce video celos apertos. der dritt theil (Ecce video celos apertos),xxv.
New_1536-7_n27,Taner nack (T'Andernaken),Miiij
New_1536-7_n28,Ander nacken vp dem Rhin (Andernacken auf den Rhein),Niij-Qij
New_1536-7_n29,[untitled] ([untitled]),Qij
New_1536-7_n30,Ander nacken vp dem Rhin (Andernacken auf den Rhein),xxviij.
New_1536-7_n31,Welchem der Tannernack zu schwer ist (Welchem der Tannernack zu schwer ist),
New_1536-7_n32,der erste theil (Der erste Teil),Pij-Qiij
New_1536-7_n33,der ander theil (Der andere Teil),Qiij-Riiij
New_1536-7_n34,Hie folgen etliche gute psalmen (Hier folgen etliche gute Psalmen),Riiij
New_1536-7_n35,Letatus sum. der erste theil (Letatus sum in hiis que),Riiij-Sij
New_1536-7_n36,Letatus sum. der ander theil (Letatus sum in hiis que),Sij-Siij
New_1536-7_n37,Memor esto (Memor esto verbi tui**[?]),Siij-Tij
New_1536-7_n38,Memor esto. Der ander theyl (Memor esto verbi tui**[?]),Tij
New_1536-7_n39,Den Psalm hab ich nit colorirt (Den Psalm hab ich nicht koloriert),
New_1536-7_n40,Laudate dominum de celis. Der erste theyl (Laudate Dominum de caelis),V
New_1536-7_n41,Laudate dominum de celis. Der ander theyl (Laudate Dominum de caelis),X-Xiij
New_1536-7_n42,Adieu mes amours (Adieu mes amours),xxxvij
New_1536-7_n43,[untitled] ([untitled]),Yij
New_1536-7_n44,Sancta trinitas (Sancta Trinitas),xxxviij
New_1536-7_n45,Plus múltz regres (Plus mille regretz),Zij-Ziiij
New_1536-7_n46,[untitled] ([untitled]),Ziiij
New_1536-7_n47,Cum sancto spiritu (Cum Sancto Spiritu),Ziiij-Aa
New_1536-7_n48,[untitled] ([untitled]),Aa
New_1536-7_n49,Hie volget ein sehr kunstreicher Preambel oder Fantasey (Hier folgt ein sehr kunstreiches Präambel oder Fantasey),
New_1536-7_n50,Preambel (Präambel),xlj.
New_1536-7_n51,Volgend etliche liedlein (Folgend etliche Liedlein),Bbiiij
New_1536-7_n52,Von edler art (Von edler Art),Bbiiij
New_1536-7_n53,Tróstlicher lieb (Tröstlicher Liebe),xliij.
New_1536-7_n54,[untitled] ([untitled]),
New_1536-7_n55,Mein fleys vnd múhe (Mein Fleiß und Mühe),Cciij
New_1536-7_n56,Ach lieb mit leid (Ach Liebe mit Leid),Cciiij
New_1536-7_n57,[untitled] ([untitled]),
New_1536-7_n58,Mein einigs A (Mein einiges A),Dd-Ddij
New_1536-7_n59,Die prúnlein die da fliessen (Die Brünnlein die da fliessen),xlvij.
New_1536-7_n60,[untitled] ([untitled]),Ddiiij
New_1536-7_n61,Was wirt es doch des wunders noch (Was wird es noch des Wunders),Ddiiij
New_1536-7_n62,[untitled] ([untitled]),
New_1536-7_n63,Ach vnfal wes zeigstu mich (Ach Unfall wessen zeihst du),xlix.
New_1536-7_n64,Mile regretz (Mille regretz),l.
New_1536-7_n65,Mein hertz alzeyt hat groß verlangen (Mein Herz alle Zeit),Ff
New_1536-7_n66,[untitled] ([untitled]),
New_1536-7_n67,Si dedero (Si dedero),lij.
New_1536-7_n68,[untitled] ([untitled]),
New_1536-7_n69,Nach willen dein (Nach Willen dein),Gg
New_1536-7_n70,[untitled] ([untitled]),Ggij
New_1536-7_n71,Correctur (Korrektur),Ggij-Ggiij
New_1536-7_n72,Register ([register]),Ggiij
New_1536-7_n74,Amor Jesuis (Amor je suis**[?]),
New_1540-1_n000,Ein newes Lautenbúchlein (Ein neues Lautenbüchlein),
New_1540-1_n001,VNd wann einem das Búchlein zuschlecht (Und wann einem das Büchlein),
New_1540-1_n002,Das Register (Das Register),Aij
New_1540-1_n003,Das erst fundament auf die Lauten volgen Drey Regel (Das erste Fundament auf die Lauten folgt drei Regeln),
New_1540-1_n004,Die ander Regel (Die andere Regel),
New_1540-1_n005,Die Dritt Regel (Die dritte Regel),Biij
New_1540-1_n006,Hiernach volgen etliche schlechte Liedlein (**Hiernach folgen etliche schlechte [?schlichte] Liedlein),
New_1540-1_n007,Vnser Kóchin kan auß der massen kochen (**Unsere Köchin kann aus der Maßen kochen),
New_1540-1_n008,Hast du mich genummen so mústu mich (Hast Du mich genommen),
New_1540-1_n009,Mein hertz hat sich mit lieb verpflicht (Mein Herz hat sich mit Liebe verpflichtet),
New_1540-1_n010,Mag ich vnglúck nicht widerstehen (Mag ich Unglück nicht widerstehen),B
New_1540-1_n011,Wayß mir ein húsche Múlnerin (Weiß mir eine hübsche Mühlnerin),
Oeg_1512_A_n00,Altus (Alt),1r
Oeg_1512_A_n01,[register] ([register]),1v-2v
Oeg_1512_A_n02,Dich mútter gotz (Dich Mutter Gottes rufen wir an),3r-3v
Oeg_1512_A_n03,Hilff fraw von ach (Hilf Frau von Ach),3v-4r
Oeg_1512_A_n04,Zwischen perg vnd tieffe tal (Zwischen Berg und tiefem Tal),4v-5r
Oeg_1512_A_n05,Erwelt han ich (Erwählt habe ich auf Erden),5v
Oeg_1512_A_n06,Cupido hat (Cupido hat ihm jetzt erdacht),6r
Oeg_1512_A_n07,Ach lieb mit layd (Ach Liebe mit Leid),6v
Oeg_1512_A_n08,A du mein trost (A du mein Trost),7r
Oeg_1512_A_n09,Trostlicher lieb (Tröstlicher Liebe),7v
Oeg_1512_A_n10,Mein glúck get auf die seiten auß (Mein Glück geht auf die Seite aus),8r
Oeg_1512_A_n11,Von hertzen (Von Herzen ich tue freuen mich),8v
Oeg_1512_A_n12,Glúck mir trost (Glück mir Trost und Hoffnung gibt),9r-9v
Oeg_1512_A_n13,Frúntlicher trost (Freundlicher Trost),10r
Oeg_1512_A_n14,Wer sách dich fúr ain selche an (Wer sähe dich für eine solche an),10v
Oeg_1512_A_n15,Frúntlicher gruß mit púß (Freundlicher Gruß mit Buße),11r
Oeg_1512_A_n16,In freud erhebt sich gantz (In Freude erhebt sich ganz),11v
Oeg_1512_A_n17,Frúntliches weib der eren (Freundliches Weib der Ehren),12r
Oeg_1512_A_n18,Mein dienst vnd trew ich klag (Mein Dienst und Treue ich klage),12v
Oeg_1512_A_n19,Ade mit layd (Ade mit Leid),13r
Oeg_1512_A_n20,Mit hochem fleiß (Mit höchstem Fleiß),13v-14r
Oeg_1512_A_n21,Mein hertz hat sich (Mein Herz hat sich mit Liebe verpflichtet),14v
Oeg_1512_A_n22,Mein hóchste frucht (Meine höchste Frucht),15r
Oeg_1512_A_n23,Ob allem layd (Ob allem Leid),15v
Oeg_1512_A_n24,Es leyt so hart (Es liegt so hart),16r
Oeg_1512_A_n25,Mein lieb vnd trew (Meine Liebe und Treue),16v
Oeg_1512_A_n26,Ietz schaydens wee (Jetzt Scheidens weh ist worden kund),17r
Oeg_1512_A_n27,Nach willen dein (Nach Willen dein),17v
Oeg_1512_A_n28,Ich will mit fleyß (Ich will mit Fleiß),18r
Oeg_1512_A_n29,Ietz hat vol pracht (Jetzt hat vollbracht Unfall seine Macht),18v
Oeg_1512_A_n30,Ich schayd von hin (Ich scheide von hinnen),19r
Oeg_1512_A_n31,Ach gútter gsell (Ach guter Geselle),19v
Oeg_1512_A_n32,Frúntliches weyb mich nit vertreyb (Freundliches Weib mich nicht vertreibe),20r
Oeg_1512_A_n33,Ey fruntlichs hertz (Ei freundliches Herz),20v
Oeg_1512_A_n34,Fruntlich und mildt (Freundlich und mild),21r-21v
Oeg_1512_A_n35,Kund ich schón raines (Könnte ich schönes reines),22r
Oeg_1512_A_n36,O mútter gotz (O Mutter Gottes mein Zuversicht),22v-23r
Oeg_1512_A_n37,Wolt got das ich (Wollte Gott dass ich),23v
Oeg_1512_A_n38,Hertz liebstes pild (Herzliebstes Bild),24r
Oeg_1512_A_n39,Hertz mút vnd gir (Herz Mut und Gier),24v
Oeg_1512_A_n40,Zucht er und lob (Zucht Ehre und Lob),25r-25v
Oeg_1512_A_n41,Gegriest seyest hochzeitlicher tag (Gegrüßt seist hochzeitlicher Tag),25v-26r
Oeg_1512_A_n42,Wer trew mit valsch vergelten wil (Wer Treue mit Falsch vergelten will),26v
Oeg_1512_A_n43,Vnser pfarrer ist auf der pan (Unser Pfarrer ist auf der Bahn),27r-27v
Oeg_1512_A_n44,Virgo dei genetrix (Virgo dei genetrix),28r-28v
Oeg_1512_A_n45,In tua seclausit viscere factus homo (In tua seclausit viscere factus homo),29r
Oeg_1512_A_n46,Virgo mater ecclesie eterne porta (Virgo mater ecclesie eterne porta),29v
Oeg_1512_A_n47,Spem in alium nunquam habui propter (Spem in alium nunquam habui propter),30r-30v
Oeg_1512_A_n48,Paranimphus salutat virginem (Paranimphus salutat virginem),31r-31v
Oeg_1512_A_n49,Fama malum (Fama malum quo nun aluid velicius),32r-32v
Oeg_1512_A_n50,Nisi tu domine (Nisi tu domine servabis nos in vanum),33r-33v
Oeg_1512_B_n00,Bassus (Baß),1
Oeg_1512_B_n01,[register] ([register]),1v-2v
Oeg_1512_B_n02,Dich múter gotz (Dich Mutter Gottes rufen wir an),3r
Oeg_1512_B_n03,Hilff fraw von ach (Hilf Frau von Ach),3v-4r
Oeg_1512_B_n04,Zwyszen berg vnd tieffe tal (Zwischen Berg und tiefem Tal),4r
Oeg_1512_B_n05,Erwelt han ich (Erwählt habe ich auf Erden),4v
Oeg_1512_B_n06,Cupido hat im jetz erdacht (Cupido hat ihm jetzt erdacht),5r
Oeg_1512_B_n07,Ach lieb mit layd (Ach Liebe mit Leid),5v
Oeg_1512_B_n08,A du mein trost (A du mein Trost),6r
Oeg_1512_B_n09,Trostlicher lieb (Tröstlicher Liebe),6v
Oeg_1512_B_n10,Mein glúck gat auff die seitten auß (Mein Glück geht auf die Seite aus),7r
Oeg_1512_B_n11,Von hertzen ich (Von Herzen ich tue freuen mich),7v-8r
Oeg_1512_B_n12,Glick mir trost vnd hoffnung geit (Glück mir Trost und Hoffnung gibt),8v-9r
Oeg_1512_B_n13,Fruntlicher trost (Freundlicher Trost),9v
Oeg_1512_B_n14,Wer sech dich fúr ain selche an (Wer sähe dich für eine solche an),10r
Oeg_1512_B_n15,Fruntlichen gruß (Freundlicher Gruß mit Buße),10v
Oeg_1512_B_n16,In fród erhebt sich (In Freude erhebt sich ganz),11r
Oeg_1512_B_n17,Freuntliches weib der eren (Freundliches Weib der Ehren),11v
Oeg_1512_B_n18,Mein dienst vnd trew (Mein Dienst und Treue ich klage),12r
Oeg_1512_B_n19,Ade mit layd (Ade mit Leid),12v
Oeg_1512_B_n20,Mit hochem fleyß (Mit höchstem Fleiß),12v-13r
Oeg_1512_B_n21,Mein hertz hat sich (Mein Herz hat sich mit Liebe verpflichtet),13v
Oeg_1512_B_n22,Mein hóchste frucht (Meine höchste Frucht),14r
Oeg_1512_B_n23,Ob allem laid (Ob allem Leid),14v
Oeg_1512_B_n24,Es leit so hart (Es liegt so hart),15r
Oeg_1512_B_n25,Mein lieb vnd trew (Meine Liebe und Treue),15v
Oeg_1512_B_n26,Ietz schaydens wee (Jetzt Scheidens weh ist worden kund),16r
Oeg_1512_B_n27,Nach willen dein (Nach Willen dein),16v
Oeg_1512_B_n28,Ich will mit fleiß (Ich will mit Fleiß),17r
Oeg_1512_B_n29,Ietz hat vol pracht (Jetzt hat vollbracht Unfall seine Macht),17v
Oeg_1512_B_n30,Ich schayd von hin (Ich scheide von hinnen),18r
Oeg_1512_B_n31,Ach gútter gsell (Ach guter Geselle),18v
Oeg_1512_B_n32,Freúntliches weyb mich nit vertreib (Freundliches Weib mich nicht vertreibe),19r
Oeg_1512_B_n33,Ey frúntlichs hertz (Ei freundliches Herz),19v
Oeg_1512_B_n34,Frúntlich vnd mildt (Freundlich und mild),20r
Oeg_1512_B_n35,Kund ich schón raines (Könnte ich schönes reines),20v
Oeg_1512_B_n36,O múter gotz (O Mutter Gottes mein Zuversicht),21r-21v
Oeg_1512_B_n37,Wolt got das ich (Wollte Gott dass ich),22r
Oeg_1512_B_n38,Hertz liebstes bild (Herzliebstes Bild),22v
Oeg_1512_B_n39,Hertz mút vnd gyr (Herz Mut und Gier),23r
Oeg_1512_B_n40,Zucht eer vnd lob (Zucht Ehre und Lob),23v-24r
Oeg_1512_B_n41,Gegriest seiest hochzeytlicher tag (Gegrüßt seist hochzeitlicher Tag),24v
Oeg_1512_B_n42,Wer trew mit valsch vergelten wil (Wer Treue mit Falsch vergelten will),25r
Oeg_1512_B_n43,Vnser pfarrer ist auf der ban (Unser Pfarrer ist auf der Bahn),25v-26r
Oeg_1512_B_n44,Virgo dei genetrix (Virgo dei genetrix),26v-27r
Oeg_1512_B_n45,In tua seclausit viscere factus homo (In tua seclausit viscere factus homo),27v
Oeg_1512_B_n46,Virgo mater ecclesie eterne porta (Virgo mater ecclesie eterne porta),28r
Oeg_1512_B_n47,Spem in alium nunquam habui propter (Spem in alium nunquam habui propter),28v-29r
Oeg_1512_B_n48,Paranimphus salutat virginem (Paranimphus salutat virginem),29v-30r
Oeg_1512_B_n49,Fama malum (Fama malum quo nun aluid velicius),30v
Oeg_1512_B_n50,Nisi tu domine servabis nos in vanum (Nisi tu domine servabis nos in vanum),31r
Oeg_1512_D_n00,Discantus (Diskant),1r
Oeg_1512_D_n01,[register] ([register]),1v-2v
Oeg_1512_D_n02,Dich mútter gotz (Dich Mutter Gottes rufen wir an),3r-3v
Oeg_1512_D_n03,Hilff fraw von ach (Hilf Frau von Ach),3v-4r
Oeg_1512_D_n04,Zwißen perg vnd tieffe ta (Zwischen Berg und tiefem Tal),4v-5r
Oeg_1512_D_n05,Erwelt han ich (Erwählt habe ich auf Erden),5v
Oeg_1512_D_n06,Cupido hat im yetz erdacht (Cupido hat ihm jetzt erdacht),6r
Oeg_1512_D_n07,Ach lieb mit layd (Ach Liebe mit Leid),6v
Oeg_1512_D_n08,A du mein trost (A du mein Trost),7r
Oeg_1512_D_n09,Trostlicher lieb (Tröstlicher Liebe),7v
Oeg_1512_D_n10,Mein glúck gat auf (Mein Glück geht auf die Seite aus),8r
Oeg_1512_D_n11,Von hertzen ich (Von Herzen ich tue freuen mich),8v
Oeg_1512_D_n12,Glúck mir trost vnd hoffnung geyt (Glück mir Trost und Hoffnung gibt),9r-9v
Oeg_1512_D_n13,Frúntlicher trost (Freundlicher Trost),10r
Oeg_1512_D_n14,Wer sech dich fúr ain sóliche an (Wer sähe dich für eine solche an),10v
Oeg_1512_D_n15,Freúntlicher grúß (Freundlicher Gruß mit Buße),11r
Oeg_1512_D_n16,In fród erhebt sich (In Freude erhebt sich ganz),11v
Oeg_1512_D_n17,Freuntliches weib der eren (Freundliches Weib der Ehren),12r
Oeg_1512_D_n18,Mein dienst vnd trew ich klag (Mein Dienst und Treue ich klage),12v
Oeg_1512_D_n19,Ade mit layd (Ade mit Leid),13r
Oeg_1512_D_n20,Mit hohem fleyß (Mit höchstem Fleiß),13v
Oeg_1512_D_n21,Mein hertz hat sich (Mein Herz hat sich mit Liebe verpflichtet),14r
Oeg_1512_D_n22,Mein hóchste frucht (Meine höchste Frucht),14v
Oeg_1512_D_n23,Ob allem layd (Ob allem Leid),15r
Oeg_1512_D_n24,Es leyt so hart (Es liegt so hart),15v
Oeg_1512_D_n25,Mein lieb vnd trew (Meine Liebe und Treue),16r
Oeg_1512_D_n26,Ietz schaidens wee (Jetzt Scheidens weh ist worden kund),16v
Oeg_1512_D_n27,Nach willen dein (Nach Willen dein),17r
Oeg_1512_D_n28,Ich wil mit fleis (Ich will mit Fleiß),17v
Oeg_1512_D_n29,Ietz hat vol pracht (Jetzt hat vollbracht Unfall seine Macht),18r
Oeg_1512_D_n30,Ich schayd von hin (Ich scheide von hinnen),18v
Oeg_1512_D_n31,Ach gútter gsel (Ach guter Geselle),19r
Oeg_1512_D_n32,Frúntliches weib mich nit vertrib (Freundliches Weib mich nicht vertreibe),19v
Oeg_1512_D_n33,Ey frúntlichs hertz (Ei freundliches Herz),20r
Oeg_1512_D_n34,Freúntlich vnd milt (Freundlich und mild),20v-21r
Oeg_1512_D_n35,Kund ich schón raines (Könnte ich schönes reines),21v
Oeg_1512_D_n36,O mútter gotz (O Mutter Gottes mein Zuversicht),22r-22v
Oeg_1512_D_n37,Wolt got das ich (Wollte Gott dass ich),23r
Oeg_1512_D_n38,Hertz liebstes pild (Herzliebstes Bild),23v
Oeg_1512_D_n39,Hertz mút vnd gyr (Herz Mut und Gier),24r
Oeg_1512_D_n40,Zucht eer vnd lob (Zucht Ehre und Lob),24v-25r
Oeg_1512_D_n41,Gegriest seyest (Gegrüßt seist hochzeitlicher Tag),25v
Oeg_1512_D_n42,Wer trew mit valsch (Wer Treue mit Falsch vergelten will),26r
Oeg_1512_D_n43,Vnser pfarrer ist auf der pan (Unser Pfarrer ist auf der Bahn),26v-27r
Oeg_1512_D_n44,Virgo dei genetrix (Virgo dei genetrix),27v-28r
Oeg_1512_D_n45,In tua seclausit viscere factus homo (In tua seclausit viscere factus homo),28v
Oeg_1512_D_n46,Virgo mater ecclesie eterne porta (Virgo mater ecclesie eterne porta),29r-29v
Oeg_1512_D_n47,Spem in alium nunquam habui propter (Spem in alium nunquam habui propter),29v-30r
Oeg_1512_D_n48,Paranimphus salutat virginem (Paranimphus salutat virginem),30v-31r
Oeg_1512_D_n49,Fama malum (Fama malum quo nun aluid velicius),31v-32r
Oeg_1512_D_n50,Nisi tu domine (Nisi tu domine servabis nos in vanum),32v-33r
Oeg_1512_T_n00,Tenor (Tenor),1r
Oeg_1512_T_n01,[register] ([register]),2v-3v
Oeg_1512_T_n02,Dich mútter gotz rúeff wir an (Dich Mutter Gottes rufen wir an),4v-5r
Oeg_1512_T_n03,Hilf fraw von ach (Hilf Frau von Ach),5v-6r
Oeg_1512_T_n04,Zwischen berg vnd tieffe tal (Zwischen Berg und tiefem Tal),6v-7r
Oeg_1512_T_n05,Erwelt han ich auf erden (Erwählt habe ich auf Erden),7v-8r
Oeg_1512_T_n06,Cupido hat jm ytz erdacht (Cupido hat ihm jetzt erdacht),8v-9r
Oeg_1512_T_n07,Ach lieb mit laid (Ach Liebe mit Leid),9v-10r
Oeg_1512_T_n08,A du mein trost (A du mein Trost),10v-11r
Oeg_1512_T_n09,Trostlicher lieb (Tröstlicher Liebe),11v-12r
Oeg_1512_T_n10,Mein glúck gat auff die seiten auß (Mein Glück geht auf die Seite aus),12v-13r
Oeg_1512_T_n11,Von hetzen ich thú frewen mich (Von Herzen ich tue freuen mich),13v-14r
Oeg_1512_T_n12,Gelúck mir trost vnd hoffnung geit (Glück mir Trost und Hoffnung gibt),14v-15r
Oeg_1512_T_n13,Frúntlicher trost (Freundlicher Trost),15v-16r
Oeg_1512_T_n14,Wer sech dich fúr ain sóliche an (Wer sähe dich für eine solche an),16v-17r
Oeg_1512_T_n15,Frúntlicher grus (Freundlicher Gruß mit Buße),17v-18r
Oeg_1512_T_n16,In fród erhóbt sich gantz (In Freude erhebt sich ganz),18v-19r
Oeg_1512_T_n17,Fróliches weyb der eren (Fröhliches Weib der Ehren),19v-20r
Oeg_1512_T_n18,Mein dienst vnd trew ich klag (Mein Dienst und Treue ich klage),20v-21r
Oeg_1512_T_n19,Ade mit layd (Ade mit Leid),21v-22r
Oeg_1512_T_n20,Mit hóchstem fleis (Mit höchstem Fleiß),22v-23r
Oeg_1512_T_n21,Mein hertz hat sich (Mein Herz hat sich mit Liebe verpflichtet),23v-24r
Oeg_1512_T_n22,Mein hóchste frucht (Meine höchste Frucht),24v-25r
Oeg_1512_T_n23,Ob allem layd (Ob allem Leid),25v-26r
Oeg_1512_T_n24,Es leyt so hart (Es liegt so hart),26v-27r
Oeg_1512_T_n25,Mein lieb vnd trew (Meine Liebe und Treue),27v-28r
Oeg_1512_T_n26,Ietz schaidens wee (Jetzt Scheidens weh ist worden kund),28v-29r
Oeg_1512_T_n27,Nach willen dein (Nach Willen dein),29v-30r
Oeg_1512_T_n28,Ich will mit fleyß (Ich will mit Fleiß),30v-31r
Oeg_1512_T_n29,Ietz hat volbracht (Jetzt hat vollbracht Unfall seine Macht),31v-32r
Oeg_1512_T_n30,Ich schayd von hin (Ich scheide von hinnen),32v-33r
Oeg_1512_T_n31,Ach gútter gsell (Ach guter Geselle),33v-34r
Oeg_1512_T_n32,Fruntliches weyb (Freundliches Weib mich nicht vertreibe),34v-35r
Oeg_1512_T_n33,Ey fruntlichs hertz (Ei freundliches Herz),35v-36r
Oeg_1512_T_n34,Frúntlich und mildt (Freundlich und mild),36v-37r
Oeg_1512_T_n35,Kund ich schón raynes (Könnte ich schönes reines),37v-38r
Oeg_1512_T_n36,O mútter gotz (O Mutter Gottes mein Zuversicht),38v-39r
Oeg_1512_T_n37,Wolt got das ich mich (Wollte Gott dass ich),39v-40r
Oeg_1512_T_n38,Hertz liebstes pild (Herzliebstes Bild),40v-41r
Oeg_1512_T_n39,Hertz mút vnnd gyr (Herz Mut und Gier),41v-42r
Oeg_1512_T_n40,Zucht er vnd lob jr wonet bey (Zucht Ehre und Lob),42v-44r
Oeg_1512_T_n41,Gegrúst seyst hochzeytlicher tag (Gegrüßt seist hochzeitlicher Tag),44v-45r
Oeg_1512_T_n42,Wer trw mit falsch vergelten will (Wer Treue mit Falsch vergelten will),45v-46r
